Group,Species,dry_mass_g,Temp_C,Mortality_yr ,Ref
Bird,Cyanocitta cristata,21.7,40,0.139,"1,2"
Bird,Cyanocitta cristata,21.7,40,0.156,"1,2"
Bird,Cyanocitta stelleri,32,40,0.158,"1,2"
Bird,Cyanocitta stelleri,32,40,0.233,"1,2"
Bird,Cyanocorax yncas,19.63,40,0.239,"1,2"
Bird,Cygnus buccinator,2713,40,0.105,"1,2"
Bird,Cygnus buccinator,2850,40,0.106,"1,2"
Bird,Cygnus c. columbianus,1550,40,0.129,"1,2"
Bird,Cygnus columbianus,1425,40,0.009,3
Bird,Cygnus columbianus,1550,40,0.157,"1,2"
Bird,Cygnus columbianus,1600,40,0.036,3
Bird,Cygnus columbianus,1663,40,0.12,"1,2"
Bird,Cygnus olor,2418,40,0.192,"1,2"
Bird,Cygnus olor,2684,40,0.12,"1,2"
Bird,Cygnus olor,2950,40,0.094,"1,2"
Bird,Cypseloides niger,11.4,40,0.435,"1,2"
Bird,Daption capense,107,40,0.127,"1,2"
Bird,Dendragapus canadensis,114,40,0.495,"1,2"
Bird,Dendragapus canadensis,123,40,0.196,"1,2"
Bird,Dendragapus obscurus,222.8,40,0.233,"1,2"
Bird,Dendragapus obscurus,297,40,0.235,"1,2"
Bird,Dendragapus obscurus,299.5,40,0.182,"1,2"
Bird,Dendrocygna autumnalis,212.3,40,0.314,"1,2"
Bird,Dendrocygna bicolor,177.5,40,0.4,"1,2"
Bird,Dendroica caerulescens,2.45,40,0.323,"1,2"
Bird,Dendroica caerulescens,2.538,40,0.265,"1,2"
Bird,Dendroica castanea,3.138,40,0.794,"1,2"
Bird,Dendroica coronata sp.,3.025,40,0.394,"1,2"
Bird,Dendroica coronata sp.,3.138,40,0.376,"1,2"
Bird,Dendroica discolor,2,40,0.249,"1,2"
Bird,Dendroica dominica,2.35,40,0.515,"1,2"
Bird,Dendroica fusca,2.5,40,0.314,"1,2"
Bird,Dendroica kirtlandii,3.425,40,0.286,"1,2"
Bird,Dendroica kirtlandii,3.45,40,0.323,"1,2"
Bird,Dendroica magnolia,2.175,40,0.376,"1,2"
Bird,Dendroica palmarum hypochrysea,2.575,40,0.45,"1,2"
Bird,Dendroica palmarum palmarum,2.575,40,0.394,"1,2"
Bird,Dendroica pensylvanica,2.4,40,0.376,"1,2"
Bird,Dendroica petechia,2.45,40,0.289,"1,2"
Bird,Dendroica pinus,2.975,40,0.382,"1,2"
Bird,Dendroica striata,3.25,40,0.617,"1,2"
Bird,Dendroica striata,3.25,40,0.794,"1,2"
Bird,Dendroica tigrina,2.75,40,0.617,"1,2"
Bird,Dendroica townsendi,2.213,40,0.746,"1,2"
Bird,Dendroica virens,2.2,40,0.442,"1,2"
Bird,Diomedea amsterdamensis,1568,40,0.063,"1,2"
Bird,Diomedea chlororhynchos,615,40,0.068,"1,2"
Bird,Diomedea chrysostoma,876.9,40,0.084,"1,2"
Bird,Diomedea epomophora,2050,40,0.043,"1,2"
Bird,Diomedea exulans,1913,40,0.063,"1,2"
Bird,Diomedea immutabilis,766.6,40,0.047,"1,2"
Bird,Diomedea immutablis,766.6,40,0.067,"1,2"
Bird,Diomedea irrorata,848.8,40,0.063,"1,2"
Bird,Diomedea melanophris,891,40,0.074,"1,2"
Bird,Diomedea nigripes,787,40,0.091,"1,2"
Bird,Diomedea nigripes,787,40,0.093,"1,2"
Bird,Diomedia exulans,1913,40,0.02,3
Bird,Dolichonyx oryzivorus,10.51,40,0.286,"1,2"
Bird,Dolichonyx oryzivorus,10.51,40,0.318,"1,2"
Bird,Dryocopus pileatus,66.5,40,0.259,"1,2"
Bird,Dryocopus pileatus,71.75,40,0.259,"1,2"
Bird,Dryocopus pileatus,71.75,40,0.286,"1,2"
Bird,Dumetella carolinensis,9.225,40,0.235,"1,2"
Bird,Egretta caerulea,84.88,40,0.183,"1,2"
Bird,Egretta rufescens,112.5,40,0.207,"1,2"
Bird,Egretta thula,92.75,40,0.144,"1,2"
Bird,Egretta thula,92.75,40,0.226,"1,2"
Bird,Elanus caeruleus axillanis,83.25,40,0.435,"1,2"
Bird,Empidonax difficilis,2.5,40,0.435,"1,2"
Bird,Empidonax flaviventris,2.9,40,0.685,"1,2"
Bird,Empidonax fulvifrons,1.975,40,1.429,"1,2"
Bird,Empidonax minimus,2.575,40,0.323,"1,2"
Bird,Empidonax minimus,2.575,40,0.442,"1,2"
Bird,Empidonax oberholseri,2.6,40,0.286,"1,2"
Bird,Empidonax oberholseri,2.6,40,0.314,"1,2"
Bird,Empidonax oberholseri,2.6,40,0.323,"1,2"
Bird,Empidonax oberholseri,2.6,40,0.435,"1,2"
Bird,Empidonax traillii,3.35,40,0.37,"1,2"
Bird,Empidonax virescens,3.225,40,0.235,"1,2"
Bird,Eremophila alpestris,7.838,40,0.323,"1,2"
Bird,Eremophila alpestris,7.838,40,0.327,"1,2"
Bird,Eremophila alpestris,7.975,40,0.365,"1,2"
Bird,Eudocimus albus,225,40,0.156,"1,2"
Bird,Eudyptula minor,276.3,40,0.195,3
Bird,Euphagus carolinus,14.94,40,0.292,"1,2"
Bird,Euphagus cyanocephalus,15.66,40,0.233,"1,2"
Bird,Falco berigora,137.4,40,0.244,"1,2"
Bird,Falco columbarius,47.63,40,0.331,"1,2"
Bird,Falco eleonorae,97.5,40,0.435,"1,2"
Bird,Falco mexicanus,138.5,40,0.282,"1,2"
Bird,Falco mexicanus,215.8,40,0.242,"1,2"
Bird,Falco naumanni,38.13,40,0.42,"1,2"
Bird,Falco peregrinus,195.4,40,0.207,"1,2"
Bird,Falco rupicoloides,65,40,0.4,"1,2"
Bird,Falco sparverius,30,40,0.22,"1,2"
Bird,Falco subbuteo longipennis,63.25,40,0.244,"1,2"
Bird,Falco subbuteo subbuteo,60,40,0.237,"1,2"
Bird,Falco tinnunculus,50.38,40,0.159,"1,2"
Bird,Falco vespertinus vespertinus,41.38,40,0.207,"1,2"
Bird,Ficedula hypoleuca,3,40,0.748,3
Bird,Ficedula hypoleuca,3,40,0.656,3
Bird,Fratercula arctica,95.25,40,0.127,"1,2"
Bird,Fratercula arctica,95.25,40,0.193,"1,2"
Bird,Fratercula cirrhata,194.8,40,0.435,"1,2"
Bird,Fregata ariel,188.5,40,0.149,"1,2"
Bird,Fregata ariel,201.5,40,0.108,"1,2"
Bird,Fregata minor,263.8,40,0.074,"1,2"
Bird,Fregata minor,295.8,40,0.084,"1,2"
Bird,Fulica americana,140,40,0.113,"1,2"
Bird,Fulica americana,160.5,40,0.13,"1,2"
Bird,Fulmarus glacialis,136,40,0.052,"1,2"
Bird,Fulmarus glacialis,136,40,0.355,"1,2"
Bird,Gallinago gallinago,30.5,40,0.276,"1,2"
Bird,Gallinula chloropus,75.63,40,0.244,"1,2"
Bird,Gavia arctica,838.8,40,0.09,"1,2"
Bird,Gavia immer,1034,40,0.127,"1,2"
Bird,Gavia immer,1034,40,0.331,"1,2"
Bird,Gavia stellata,387.8,40,0.11,"1,2"
Bird,Geococcyx californianus,94,40,0.704,"1,2"
Bird,Geothlypis trichas,2.475,40,0.259,"1,2"
Bird,Grus americana,1457,40,0.084,"1,2"
Bird,Grus americana,1457,40,0.355,"1,2"
Bird,Grus canadensis,791.5,40,0.118,"1,2"
Bird,Grus canadensis,791.5,40,0.131,"1,2"
Bird,Grus canadensis,791.5,40,0.139,"1,2"
Bird,Guiraca caerulea,7.325,40,0.442,"1,2"
Bird,Gygis alba,27.75,40,0.142,"1,2"
Bird,Gymnogyps californianus,2526,40,0.056,"1,2"
Bird,Gymnorhinus cyanocephalus,25.75,40,0.233,"1,2"
Bird,Gymnorhinus cyanocephalus,25.75,40,0.292,"1,2"
Bird,Gyps coprotheres,2044,40,0.227,"1,2"
Bird,Haematopus bachmani,162,40,0.159,"1,2"
Bird,Haematopus bachmani,162,40,0.42,"1,2"
Bird,Haematopus ostralegus,131.5,40,0.07,"1,2"
Bird,Haematopus palliatus,158,40,0.149,"1,2"
Bird,Haematopus palliatus,158,40,0.182,"1,2"
Bird,Haliaeetus albicilla,1198,40,0.12,"1,2"
Bird,Haliaeetus leucocephalus,1185,40,0.246,"1,2"
Bird,Haliastur sphenarus,200,40,0.235,"1,2"
Bird,Helmitheros vermivorus,3.25,40,0.365,"1,2"
Bird,Hieraaetus morphnoides,209.8,40,0.249,"1,2"
Bird,Himantopus mexicanus knudsensi,41.5,40,0.505,"1,2"
Bird,Himatione sanguinea,6.275,40,0.407,"1,2"
Bird,Hirundo fulva,5.1,40,0.276,"1,2"
Bird,Hirundo fulva,5.1,40,0.549,"1,2"
Bird,Hirundo pyrrhonota,5.4,40,0.233,"1,2"
Bird,Hirundo pyrrhonota,5.4,40,0.256,"1,2"
Bird,Hirundo pyrrhonota,5.4,40,0.286,"1,2"
Bird,Hirundo rustica,3.95,40,0.318,"1,2"
Bird,Hydrobates pelagicus,6.3,40,0.127,"1,2"
Bird,Icteria virens,6.325,40,0.289,"1,2"
Bird,Icterus cucullatus,6.075,40,0.435,"1,2"
Bird,Icterus galbula ssp.,8.4,40,0.394,"1,2"
Bird,Icterus galbula ssp.,8.575,40,0.22,"1,2"
Bird,Icterus parisorum,9.35,40,0.407,"1,2"
Bird,Icterus pectoralis,11.13,40,0.22,"1,2"
Bird,Icterus spurius,4.9,40,0.267,"1,2"
Bird,Icterus spurius,4.9,40,0.276,"1,2"
Bird,Ictinia mississippiensis,69.5,40,0.323,"1,2"
Bird,Junco hyemalis ssp.,4.9,40,0.237,"1,2"
Bird,Junco hyemalis ssp.,4.9,40,0.239,"1,2"
Bird,Junco hyemalis ssp.,4.9,40,0.262,"1,2"
Bird,Junco hyemalis ssp.,4.9,40,0.394,"1,2"
Bird,Junco phaeonotus ssp.,5.1,40,0.394,"1,2"
Bird,Lagopus leucurus,87.75,40,0.213,"1,2"
Bird,Lagopus leucurus,89.75,40,0.169,"1,2"
Bird,Lamprolaima rhami,1.525,40,0.323,"1,2"
Bird,Lanius excubitor,16.4,40,0.82,"1,2"
Bird,Lanius ludovicianus,11.85,40,0.204,"1,2"
Bird,Lanius ludovicianus,11.85,40,0.427,"1,2"
Bird,Larus argentatus,283.8,40,0.084,"1,2"
Bird,Larus argentatus,283.8,40,0.09,"1,2"
Bird,Larus argentatus,283.8,40,0.092,"1,2"
Bird,Larus argentatus,283.8,40,0.133,"1,2"
Bird,Larus atricilla,81.25,40,0.168,"1,2"
Bird,Larus californicus,151.6,40,0.192,"1,2"
Bird,Larus canus,100.9,40,0.139,"1,2"
Bird,Larus canus,101,40,0.098,3
Bird,Larus delawarensis,129.6,40,0.079,"1,2"
Bird,Larus delawarensis,129.6,40,0.101,"1,2"
Bird,Larus glaucescens,252.5,40,0.079,"1,2"
Bird,Larus glaucescens,252.5,40,0.111,"1,2"
Bird,Larus glaucescens,252.5,40,0.114,"1,2"
Bird,Larus marinus,414.6,40,0.108,"1,2"
Bird,Larus occidentalis,252.8,40,0.091,"1,2"
Bird,Larus occidentalis,252.8,40,0.101,"1,2"
Bird,Larus pipixcan,70,40,0.273,"1,2"
Bird,Larus pipixcan,70,40,0.286,"1,2"
Bird,Laterallus jamicensis,8.475,40,1.163,"1,2"
Bird,Leptotila verreauxi,38.25,40,0.299,"1,2"
Bird,Leucosticte arctoa atrata,6.625,40,0.459,"1,2"
Bird,Leucosticte arctoa ssp.,6.725,40,0.394,"1,2"
Bird,Limnodromus griseus,28.25,40,0.192,"1,2"
Bird,Limnodromus griseus,28.25,40,0.34,"1,2"
Bird,Limnodromus scolopaceus,26.13,40,0.311,"1,2"
Bird,Limnothlypis swainsonii,4.725,40,0.331,"1,2"
Bird,Limosa fedoa,92.63,40,0.299,"1,2"
Bird,Limosa lapponica,84.5,40,0.685,"1,2"
Bird,Lophodytes cucullatus,135,40,0.226,"1,2"
Bird,Lophodytes cucullatus,152.5,40,0.249,"1,2"
Bird,Lophoictinia isura,125.3,40,0.149,"1,2"
Bird,Loxia curvirostra,10.15,40,0.633,"1,2"
Bird,Melanerpes aurifrons,21.35,40,0.459,"1,2"
Bird,Melanerpes carolinus,16.8,40,0.211,"1,2"
Bird,Melanerpes erythrocephalus,17.9,40,0.259,"1,2"
Bird,Melanerpes formicivorus,19.53,40,0.169,"1,2"
Bird,Melanerpes formicivorus,20.73,40,0.159,"1,2"
Bird,Melanerpes uropygialis,17.43,40,0.331,"1,2"
Bird,Melanitta deglandi,300,40,0.218,"1,2"
Bird,Melanitta fusca,439.3,40,0.163,"1,2"
Bird,Melanitta fusca,439.3,40,0.213,"1,2"
Bird,Meleagris gallopavo,1056,40,0.196,"1,2"
Bird,Meleagris gallopavo,1453,40,0.204,"1,2"
Bird,Melospiza georgiana,4.25,40,0.549,"1,2"
Bird,Melospiza lincolnii,4.35,40,0.34,"1,2"
Bird,Melospiza melodia,5.188,40,0.226,"1,2"
Bird,Mergus merganser,308,40,0.19,"1,2"
Bird,Mergus serrator,255.4,40,0.485,"1,2"
Bird,Merops bullockoides,8.7,40,0.37,"1,2"
Bird,Micrathene whitneyi,10.25,40,0.538,"1,2"
Bird,Micropalama himantopus,14.34,40,0.282,"1,2"
Bird,Milvus migrans,206.8,40,0.107,"1,2"
Bird,Milvus migrans,206.8,40,0.11,"1,2"
Bird,Milvus milvus,270,40,0.097,"1,2"
