"Group","Species","dry_mass_g","Temp_C","centroid_temp","Mortality_yr"
"Mammal","Cebus_albifrons",657.2,25.7115322688942,25.9,0.063
"Mammal","Sapajus_apella",625,25.7840463853089,26.5,0.063
"Mammal","Philantomba_monticola",1562,23.093845218007,25,0.213
"Mammal","Cephalorhynchus_commersonii",12500,8.82333937479091,8.93852871482976,0.141
"Mammal","Ceratotherium_simum",737500,23.3863840738385,20.9,0.07
"Mammal","Ceratotherium_simum",737500,23.3863840738385,20.9,0.056
"Mammal","Ceratotherium_simum",737500,23.3863840738385,20.9,0.05
"Mammal","Cercocebus_torquatus",1937,25.6129775570874,21.7,0.123
"Mammal","Cercocebus_torquatus",1937,25.6129775570874,21.7,0.084
"Mammal","Cercopithecus_diana",1044,25.5769704464757,25.1,0.072
"Mammal","Cercopithecus_mona",1156,26.0937687436514,25.4,0.084
"Mammal","Cervus_elaphus",12500,8.5379719479133,9.9,0.05
"Mammal","Cervus_elaphus",12500,8.5379719479133,9.9,0.025
"Mammal","Cervus_elaphus",29880,8.5379719479133,9.9,0.127
"Mammal","Cervus_elaphus",29880,8.5379719479133,9.9,0.094
"Mammal","Cervus_elaphus",39060,8.5379719479133,9.9,0.127
"Mammal","Cervus_elaphus",39060,8.5379719479133,9.9,0.094
"Mammal","Cervus_elaphus",54440,8.5379719479133,9.9,0.127
"Mammal","Cervus_elaphus",54440,8.5379719479133,9.9,0.094
"Mammal","Chinchilla_lanigera",121.2,13.3698317881381,12.1,0.256
"Mammal","Chinchilla_lanigera",121.2,13.3698317881381,12.1,0.226
"Mammal","Chiropotes_albinasus",725,25.4781460574176,26.4,0.149
"Mammal","Chiropotes_satanas",750,26.5839583101583,26.7,0.141
"Mammal","Civettictis_civetta",3000,24.211163915686,26.2,0.169
"Mammal","Coendou_prehensilis",1100,24.7467057029894,26.4,0.149
"Mammal","Colobus_polykomos",2459,25.7969102438966,25.7,0.097
"Mammal","Colobus_polykomos",2459,25.7969102438966,25.7,0.083
"Mammal","Cricetus_cricetus",125,4.48593922232921,3.2,0.667
"Mammal","Crocidura_leucodon",2.455,9.67175021807429,11.1,0.909
"Mammal","Crocidura_russula",1.6,12.3601220894143,12.4,0.847
"Mammal","Crocuta_crocuta",15750,24.219991932487,24.7,0.101
"Mammal","Ctenomys_talarum",33.08,14.7091129128093,13.7,0.909
"Mammal","Cystophora_cristata",50000,4.83877804538972,8.92589457262316,0.074
"Mammal","Cystophora_cristata",50000,4.83877804538972,8.92589457262316,0.072
"Mammal","Cystophora_cristata",50000,4.83877804538972,8.92589457262316,0.072
"Mammal","Dactylopsila_trivirgata",105.8,24.581791275182,24,0.526
"Mammal","Dama_dama",12130,9.21589342759795,8,0.101
"Mammal","Damaliscus_lunatus",24500,22.8241250475281,22.4,0.182
"Mammal","Damaliscus_lunatus",24500,22.8241250475281,22.4,0.166
"Mammal","Dasycercus_cristicauda",25,22.175261280744,22.3,0.435
"Mammal","Dasyprocta_punctata",668.7,23.5786795512422,NA,0.256
"Mammal","Dasyprocta_punctata",668.7,23.5786795512422,NA,0.256
"Mammal","Dasypus_novemcinctus",1051,23.022111244218,26.2,0.169
"Mammal","Dasypus_novemcinctus",1051,23.022111244218,26.2,0.169
"Mammal","Dasyurus_viverrinus",272.5,10.2363279809416,6.5,0.526
"Mammal","Delanymys_brooksi",1.25,16.2534288269362,20.1,1.429
"Mammal","Delphinapterus_leucas",350000,0.975923820662082,0.74482525014465,0.147
"Mammal","Delphinapterus_leucas",350000,0.975923820662082,0.74482525014465,0.084
"Mammal","Delphinapterus_leucas",350000,0.975923820662082,0.74482525014465,0.063
"Mammal","Delphinus_delphis",16250,20.1167870228431,25.2248935332361,0.127
"Mammal","Dendrohyrax_arboreus",737.5,21.4011221641181,20.7,0.256
"Mammal","Dendrolagus_matschiei",1740,18.5634596763333,12.7,0.323
"Mammal","Dicerorhinus_sumatrensis",350000,23.8207231009273,NA,0.079
"Mammal","Dicerorhinus_sumatrensis",350000,23.8207231009273,NA,0.072
"Mammal","Diceros_bicornis",295100,21.3186300276719,23.3,0.063
"Mammal","Dugong_dugon",105000,28.4048803209078,29.203655864493,0.046
"Mammal","Dugong_dugon",105000,28.4048803209078,29.203655864493,0.046
"Mammal","Dugong_dugon",105000,28.4048803209078,29.203655864493,0.036
"Mammal","Echinops_telfairi",45,24.282427378357,23,2.632
"Mammal","Elaphurus_davidianus",43750,14.8943285024275,14,0.141
"Mammal","Elaphurus_davidianus",43750,14.8943285024275,14,0.108
"Mammal","Elephantulus_myurus",13.1,19.1440456303422,18.8,2.941
"Mammal","Elephantulus_rufescens",9.375,23.5696300698432,20.8,0.435
"Mammal","Elephas_maximus",1250000,24.2413115109351,NA,0.063
"Mammal","Elephas_maximus",1250000,24.2413115109351,NA,0.042
"Mammal","Elephas_maximus",1250000,24.2413115109351,NA,0.036
"Mammal","Elephas_maximus",1250000,24.2413115109351,NA,0.032
"Mammal","Enhydra_lutris",7500,6.48237859006961,10.1123363020242,0.11
"Mammal","Enhydra_lutris",7500,6.48237859006961,10.1123363020242,0.084
"Mammal","Equus_africanus",41250,27.6576053847064,30.1,0.127
"Mammal","Equus_africanus",81250,27.6576053847064,30.1,0.127
"Mammal","Equus_quagga",59430,21.3790322457632,19.4,0.057
"Mammal","Equus_quagga",59430,21.3790322457632,19.4,0.057
"Mammal","Equus_ferus",62500,3.88220535399927,4.9,0.04
"Mammal","Equus_grevyi",102000,23.6325228453008,26.3,0.127
"Mammal","Equus_hemionus",57500,7.65551218823111,4.3,0.127
"Mammal","Equus_zebra",71750,19.2120699156253,21.9,0.127
"Mammal","Equus_zebra",71750,19.2120699156253,21.9,0.105
"Mammal","Erethizon_dorsatum",1771,2.59187647843515,4.3,0.149
"Mammal","Erethizon_dorsatum",1771,2.59187647843515,4.3,0.141
"Mammal","Erignathus_barbatus",75000,1.5989792915341,3.67541800858861,0.101
"Mammal","Erignathus_barbatus",75000,1.5989792915341,3.67541800858861,0.081
"Mammal","Erignathus_barbatus",75000,1.5989792915341,3.67541800858861,0.081
"Mammal","Erinaceus_europaeus",205.8,7.87298185373364,7.8,0.37
"Mammal","Erinaceus_europaeus",205.8,7.87298185373364,7.8,0.323
"Mammal","Erinaceus_europaeus",205.8,7.87298185373364,7.8,0.182
"Mammal","Erythrocebus_patas",1817,26.7706801832686,25.1,0.12
"Mammal","Eschrichtius_robustus",7500000,9.58493222400798,8.15232062183361,0.036
"Mammal","Eschrichtius_robustus",7500000,9.58493222400798,8.15232062183361,0.033
"Mammal","Eumetopias_jubatus",150000,6.0949526410841,10.1437101005583,0.11
"Mammal","Eumetopias_jubatus",150000,6.0949526410841,10.1437101005583,0.084
"Mammal","Felis_nigripes",325,18.8026791593025,20,0.213
"Mammal","Felis_silvestris",1063,20.5865463763728,26.5,0.169
"Mammal","Felis_silvestris",1063,20.5865463763728,26.5,0.141
"Mammal","Felis_silvestris",1162,20.5865463763728,26.5,0.169
"Mammal","Felis_silvestris",1162,20.5865463763728,26.5,0.141
"Mammal","Galea_musteloides",120,11.2799866006309,8.6,2.381
"Mammal","Gazella_dorcas",5750,24.5978081280524,23,0.204
"Mammal","Gazella_gazella",5625,19.6077799115281,19.2,0.213
"Mammal","Georychus_capensis",45.25,16.0425269003175,13.7,0.909
"Mammal","Gerbillus_pyramidum",10.22,26.016937129142,24.7,0.323
"Mammal","Giraffa_camelopardalis",225000,22.984527907459,19.2,0.101
"Mammal","Giraffa_camelopardalis",225000,22.984527907459,19.2,0.097
"Mammal","Giraffa_camelopardalis",225000,22.984527907459,19.2,0.069
"Mammal","Gorilla_gorilla",31060,24.3225381373252,23.8,0.053
"Mammal","Gorilla_gorilla",31060,24.3225381373252,23.8,0.05
"Mammal","Gymnobelideus_leadbeateri",31.75,10.8773356991573,10.5,0.345
"Mammal","Halichoerus_grypus",62500,9.56467478414243,10.2759283510288,0.081
"Mammal","Halichoerus_grypus",62500,9.56467478414243,10.2759283510288,0.063
"Mammal","Halichoerus_grypus",62500,9.56467478414243,10.2759283510288,0.055
"Mammal","Halichoerus_grypus",62500,9.56467478414243,10.2759283510288,0.055
"Mammal","Hemibelideus_lemuroides",238.1,20.9633420972803,19.8,0.667
"Mammal","Hemicentetes_semispinosus",28,21.2781056824321,21.2,1.02
"Mammal","Hemitragus_jemlahicus",22500,4.96129898470851,0.6,0.256
"Mammal","Herpestes_ichneumon",712.5,23.5759669810031,24.4,0.213
"Mammal","Heterohyrax_brucei",656.3,23.1463213261036,19.6,0.182
"Mammal","Hippopotamus_amphibius",3e+05,25.8575105475234,26.7265388734478,0.03
"Mammal","Hippopotamus_amphibius",354400,25.8575105475234,26.7265388734478,0.056
"Mammal","Hippopotamus_amphibius",354400,25.8575105475234,26.7265388734478,0.05
"Mammal","Hippopotamus_amphibius",354400,25.8575105475234,26.7265388734478,0.046
"Mammal","Hydropotes_inermis",3375,14.684159027281,14.8,0.213
"Mammal","Hydrurga_leptonyx",90000,-0.870339806479654,-1.20942936663349,0.11
"Mammal","Hydrurga_leptonyx",90000,-0.870339806479654,-1.20942936663349,0.097
"Mammal","Hydrurga_leptonyx",90000,-0.870339806479654,-1.20942936663349,0.097
"Mammal","Hyemoschus_aquaticus",2713,24.625616679516,24.6,0.196
"Mammal","Hyemoschus_aquaticus",2713,24.625616679516,24.6,0.182
"Mammal","Hylobates_agilis",1250,25.7873888602777,26.7,0.101
"Mammal","Hylobates_lar",1250,25.0774723972162,25.7,0.101
"Mammal","Symphalangus_syndactylus",2750,24.6993963964114,23.9,0.101
"Mammal","Symphalangus_syndactylus",2750,24.6993963964114,23.9,0.084
"Mammal","Hyperoodon_ampullatus",625000,15.6137300049772,18.029368007018,0.068
"Mammal","Isoodon_macrourus",400,23.061126210526,25.9,3.333
"Mammal","Isoodon_macrourus",400,23.061126210526,25.9,0.909
"Mammal","Kobus_ellipsiprymnus",52500,24.0597202641182,25.4,0.137
"Mammal","Kobus_kob",29380,26.2411337737959,26.4,0.206
"Mammal","Kobus_leche",27690,21.5663556878151,22.3,0.169
"Mammal","Kobus_megaceros",21880,27.4545972710289,27.4,0.256
"Mammal","Lagenorhynchus_acutus",50000,8.92783164367587,10.7239698763713,0.115
"Mammal","Lagenorhynchus_acutus",50000,8.92783164367587,10.7239698763713,0.093
"Mammal","Lagostrophus_fasciatus",425,21.5292732721212,22,0.667
"Mammal","Lama_guanicoe",21250,10.7990940861002,14.3,0.127
"Mammal","Lemur_catta",500,23.6980510367855,23.1,0.093
"Mammal","Leptailurus_serval",3000,23.5614434714411,24.4,0.11
"Mammal","Lepus_americanus",427.5,-0.725070832448191,0.7,0.526
"Mammal","Lepus_europaeus",950,8.70633053849836,7.6,0.213
"Mammal","Lepus_timidus",625,-4.0680730087712,-1.5,0.286
"Mammal","Liomys_adspersus",16.25,25.7784923309963,27.2,2
"Mammal","Litocranius_walleri",9500,25.5197893574873,28.9,0.323
"Mammal","Litocranius_walleri",9500,25.5197893574873,28.9,0.213
"Mammal","Lobodon_carcinophaga",56250,-0.949825889214824,-1.20174851849096,0.11
"Mammal","Lobodon_carcinophaga",56250,-0.949825889214824,-1.20174851849096,0.084
"Mammal","Lobodon_carcinophaga",56250,-0.949825889214824,-1.20174851849096,0.07
"Mammal","Lobodon_carcinophaga",56250,-0.949825889214824,-1.20174851849096,0.065
"Mammal","Loxodonta_africana",985000,24.0754274805615,21.8,0.042
"Mammal","Loxodonta_africana",985000,24.0754274805615,21.8,0.036
"Mammal","Loxodonta_africana",1652000,24.0754274805615,21.8,0.04
"Mammal","Lycaon_pictus",5513,23.2368182208759,21.3,0.256
"Mammal","Lycaon_pictus",5513,23.2368182208759,21.3,0.233
"Mammal","Macaca_arctoides",2500,20.8129681167757,21.1,0.084
"Mammal","Macaca_mulatta",1150,19.3147037269869,23.8,0.087
"Mammal","Macaca_mulatta",2500,19.3147037269869,23.8,0.084
"Mammal","Macaca_nemestrina",2500,25.5766940110288,23.3,0.084
"Mammal","Macaca_radiata",2500,26.3622746903004,26.5,0.127
"Mammal","Macaca_silenus",2500,23.182507521317,23.3,0.084
"Mammal","Macaca_sinica",1000,26.0003454090448,27,0.084
"Mammal","Macaca_sylvanus",1750,13.3078356795594,13.3,0.127
"Mammal","Macaca_sylvanus",1750,13.3078356795594,13.3,0.115
"Mammal","Macropus_agilis",3750,26.2539520610032,26.2,0.256
"Mammal","Macropus_antilopinus",6813,26.8403027224693,27.4,0.159
"Mammal","Macropus_dorsalis",2813,20.3934911197896,20.3,0.169
"Mammal","Macropus_eugenii",1625,16.2090212525924,15.5,0.182
"Mammal","Macropus_fuliginosus",5500,17.9474471850495,18.1,0.127
"Mammal","Macropus_giganteus",6469,19.3070018079745,20.5,0.128
"Mammal","Macropus_giganteus",6469,19.3070018079745,20.5,0.127
"Mammal","Macropus_parma",1125,17.0445203839636,14.3,0.37
"Mammal","Macropus_parma",1125,17.0445203839636,14.3,0.323
"Mammal","Macropus_parryi",3375,20.6068592580047,21.6,0.256
"Mammal","Macropus_robustus",5316,22.4233500713841,21.2,0.137
"Mammal","Macropus_rufogriseus",4213,16.6536634884247,19.1,0.169
"Mammal","Macropus_rufogriseus",4213,16.6536634884247,19.1,0.137
"Mammal","Macropus_rufus",11560,22.2694688725393,20.9,0.127
"Mammal","Macropus_rufus",11560,22.2694688725393,20.9,0.115
"Mammal","Macropus_rufus",11560,22.2694688725393,20.9,0.084
"Mammal","Marmota_marmota",1313,5.30900227857218,-0.1,0.169
"Mammal","Martes_martes",325,5.87913952360521,6.9,0.256
"Mammal","Martes_zibellina",295,-6.47484269246138,-8.4,0.28
"Mammal","Mazama_americana",5700,24.8463239810501,26.4,0.213
"Mammal","Mazama_americana",5700,24.8463239810501,26.4,0.213
"Mammal","Megaptera_novaeangliae",7500000,18.9793908077655,25.7599834785664,0.033
"Mammal","Megaptera_novaeangliae",7500000,18.9793908077655,25.7599834785664,0.026
"Mammal","Mellivora_capensis",2000,24.1321541402979,26.2,0.096
"Mammal","Mephitis_mephitis",521.3,7.74552059820133,8.8,0.435
"Mammal","Mesocricetus_auratus",26.25,17.1012002952925,17.1,0.909
"Mammal","Mesocricetus_auratus",26.25,17.1012002952925,17.1,0.256
"Mammal","Microgale_dobsoni",9.75,20.6244706593918,19.8,0.467
"Mammal","Microgale_talazaci",12.5,20.2556980501306,19.5,0.45
"Mammal","Micromys_minutus",1.5,5.82736966073352,7.2,2
"Mammal","Microtus_agrestis",10,1.67900471273304,3,1.852
"Mammal","Microtus_oeconomus",8.055,-4.13228278642475,1.4,2.174
"Mammal","Miopithecus_talapoin",312.5,23.8576970667873,22.4,0.09
"Mammal","Mirounga_angustirostris",6e+05,12.5498964640551,12.3278464613353,0.182
"Mammal","Mirounga_angustirostris",6e+05,12.5498964640551,12.3278464613353,0.182
"Mammal","Mirounga_angustirostris",6e+05,12.5498964640551,12.3278464613353,0.182
"Mammal","Mirounga_leonina",4e+05,4.65913791290323,0.660378518723564,0.141
"Mammal","Mirounga_leonina",4e+05,4.65913791290323,0.660378518723564,0.127
"Mammal","Mirounga_leonina",4e+05,4.65913791290323,0.660378518723564,0.127
"Mammal","Mirounga_leonina",4e+05,4.65913791290323,0.660378518723564,0.11
"Mammal","Monodon_monoceros",225000,-0.00630231162761241,1.61458620328289,0.063
"Mammal","Mus_musculus",4.125,12.6508362152202,4,0.435
"Mammal","Mus_musculus",5.375,12.6508362152202,4,0.435
"Mammal","Muscardinus_avellanarius",7.5,8.26863831996898,7.1,0.667
"Mammal","Mustela_lutreola",110,5.26094188451198,5.4,0.256
"Mammal","Mustela_putorius",275,7.19260834292571,8.1,0.435
"Mammal","Mustela_putorius",275,7.19260834292571,8.1,0.256
"Mammal","Neovison_vison",236.2,2.59019911012144,4.1,0.256
"Mammal","Myocastor_coypus",1734,16.3829262416894,16.9,0.435
"Mammal","Myopus_schisticolor",6.25,-5.2716017028802,-4,3.333
"Mammal","Myosorex_varius",2.85,16.2948843948402,15.1,3.333
"Mammal","Napaeozapus_insignis",5.575,3.61225357484274,3.6,0.667
"Mammal","Nasua_nasua",948.5,24.7359310250388,25.2,0.182
"Mammal","Nasua_nasua",948.5,24.7359310250388,25.2,0.182
"Mammal","Neomys_anomalus",4,9.36650388156935,11.1,1.429
"Mammal","Neomys_fodiens",3.75,2.91211544638237,3.5,0.909
"Mammal","Neophocaena_phocaenoides",7500,27.905163846767,28.7219913740797,0.11
"Mammal","Neotoma_floridana",61.19,15.8708365770864,16.6,0.909
"Mammal","Ningaui_timealeyi",1.425,25.5614233089888,25.4,1.429
"Mammal","Nyctereutes_procyonoides",1500,7.37934431933738,6.7,0.233
"Mammal","Ochotona_collaris",32.25,-5.33687632265118,-6.6,0.435
"Mammal","Ovis_dalli",18250,-7.05382783165616,-6.9,0.107
"Mammal","Ochotona_princeps",39.41,3.32215083038501,7.8,0.435
"Mammal","Ochotona_princeps",39.41,3.32215083038501,7.8,0.37
"Mammal","Odobenus_rosmarus",3e+05,0.879255257416208,3.41707623746742,0.151
"Mammal","Odobenus_rosmarus",3e+05,0.879255257416208,3.41707623746742,0.063
"Mammal","Odobenus_rosmarus",3e+05,0.879255257416208,3.41707623746742,0.063
"Mammal","Odobenus_rosmarus",3e+05,0.879255257416208,3.41707623746742,0.063
"Mammal","Odocoileus_virginianus",13880,12.9967517572065,18.9,0.256
"Mammal","Odocoileus_virginianus",13880,12.9967517572065,18.9,0.256
"Mammal","Ondatra_zibethicus",245.4,1.68966409635958,2,0.909
"Mammal","Ondatra_zibethicus",245.4,1.68966409635958,2,0.667
"Mammal","Orcinus_orca",1375000,18.7857034861826,25.7599834785664,0.05
"Mammal","Orcinus_orca",1375000,18.7857034861826,25.7599834785664,0.028
"Mammal","Orcinus_orca",1375000,18.7857034861826,25.7599834785664,0.025
"Mammal","Oreamnos_americanus",18130,0.256687446125513,2.1,0.182
"Mammal","Oreamnos_americanus",18130,0.256687446125513,2.1,0.141
"Mammal","Oreamnos_americanus",18130,0.256687446125513,2.1,0.141
"Mammal","Ornithorhynchus_anatinus",371.1,16.6932107196073,19.7,0.149
"Mammal","Orycteropus_afer",13090,23.8821531016436,24.3,0.11
"Mammal","Oryctolagus_cuniculus",395,13.2016505854832,13.8,0.286
"Mammal","Oryctolagus_cuniculus",395,13.2016505854832,13.8,0.256
"Mammal","Oryctolagus_cuniculus",395,13.2016505854832,13.8,0.141
"Mammal","Oryctolagus_cuniculus",537.5,13.2016505854832,13.8,0.286
"Mammal","Oryctolagus_cuniculus",537.5,13.2016505854832,13.8,0.256
"Mammal","Oryctolagus_cuniculus",537.5,13.2016505854832,13.8,0.141
"Mammal","Otaria_bryonia",61250,12.9864401557507,14.3616980337744,0.127
"Mammal","Ovibos_moschatus",92130,-14.2941282759591,-13.4,0.105
"Mammal","Ovis_ammon",35000,-0.830270896683657,-4.4,0.196
"Mammal","Ovis_canadensis",18660,9.10761259333094,10,0.105
"Mammal","Ovis_dalli",18250,-7.05382783165616,-6.9,0.049
"Mammal","Pusa_hispida",16250,1.37374156407232,0.915755340726869,0.032
"Mammal","Paguma_larvata",1100,18.2364468578698,22.3,0.141
"Mammal","Pan_paniscus",8500,24.8822642537017,24.6,0.127
"Mammal","Pan_troglodytes",9750,24.5411994759971,24.6,0.055
"Mammal","Pan_troglodytes",11250,24.5411994759971,24.6,0.056
"Mammal","Pan_troglodytes",11250,24.5411994759971,24.6,0.05
"Mammal","Pan_troglodytes",11250,24.5411994759971,24.6,0.049
"Mammal","Pan_troglodytes",11250,24.5411994759971,24.6,0.042
"Mammal","Panthera_leo",39000,23.8105319371749,17.8,0.032
"Mammal","Panthera_leo",40370,23.8105319371749,17.8,0.169
"Mammal","Panthera_leo",40370,23.8105319371749,17.8,0.169
"Mammal","Panthera_leo",40370,23.8105319371749,17.8,0.087
"Mammal","Panthera_pardus",13750,21.2040375074989,23.7,0.213
"Mammal","Panthera_tigris",50000,18.5445772016754,2.3,0.169
"Mammal","Panthera_tigris",50000,18.5445772016754,2.3,0.097
"Mammal","Panthera_tigris",50000,18.5445772016754,2.3,0.096
"Mammal","Papio_hamadryas",5313,23.7130531767295,26.8,0.068
"Mammal","Paradoxurus_hermaphroditus",750,23.6970560551571,26.3,0.115
"Mammal","Parantechinus_apicalis",17.19,16.2090212525924,16.3,0.909
"Mammal","Pseudantechinus_bilarni",6.875,26.9937195416176,26.8,0.909
"Mammal","Parascalops_breweri",12.75,8.0001868068039,6.4,0.667
"Mammal","Parascalops_breweri",12.75,8.0001868068039,6.4,0.526
"Mammal","Pelea_capreolus",5000,15.9195842017703,15.7,0.256
"Mammal","Peponocephala_electra",51500,26.5738713661262,26.9792551183646,0.053
"Mammal","Petauroides_volans",325,18.2605772903361,19.8,0.435
"Mammal","Petaurus_australis",143.8,18.6453208676907,18.2,0.256
"Mammal","Petaurus_breviceps",31.88,21.6501332195044,23.4,0.182
"Mammal","Phacochoerus_aethiopicus",17750,25.6265574149351,30.1,0.169
"Mammal","Phacochoerus_aethiopicus",17750,25.6265574149351,30.1,0.135
"Mammal","Phascolarctos_cinereus",2563,19.0566877029684,20,0.196
"Mammal","Phascolarctos_cinereus",2563,19.0566877029684,20,0.149
